sn,Traffic,AirVoids,curve,truths,above,below
11,0.2764,8.2,8.976768935,0,8.976768935,8.2
12,0.2764,9,8.84494303,1,9,8.84494303
13,0.2764,7.9,8.723674952,0,8.723674952,7.9
14,0.2764,8.7,8.61139825,1,8.7,8.61139825
15,0.2764,9.1,8.50687114,1,9.1,8.50687114
16,0.2764,8.6,8.409092559,1,8.6,8.409092559
17,0.2764,6.7,8.3172437,0,8.3172437,6.7
18,0.2764,7,8.230646293,0,8.230646293,7
21,0.5544,7.3,7.997101513,0,7.997101513,7.3
22,0.5544,8.4,7.926621728,1,8.4,7.926621728
23,0.5544,8.1,7.859275433,1,8.1,7.859275433
24,0.5544,8.2,7.794795822,1,8.2,7.794795822
25,0.5544,8.3,7.732948779,1,8.3,7.732948779
26,0.5544,7.1,7.673527745,0,7.673527745,7.1
27,0.5544,6.4,7.616349557,0,7.616349557,6.4
28,0.5544,7.5,7.561251042,0,7.561251042,7.5
91,2.5446,6.4,5.77553902,1,6.4,5.77553902
92,2.5446,6.9,5.758981018,1,6.9,5.758981018
93,2.5446,6.3,5.742602024,1,6.3,5.742602024
94,2.5446,8.4,5.72639821,1,8.4,5.72639821
95,2.5446,7.1,5.710365868,1,7.1,5.710365868
96,2.5446,5.6,5.694501407,0,5.694501407,5.6
97,2.5446,4.5,5.678801348,0,5.678801348,4.5
98,2.5446,5,5.663262318,0,5.663262318,5
101,2.8354,6.8,5.617579193,1,6.8,5.617579193
102,2.8354,7.2,5.602652549,1,7.2,5.602652549
103,2.8354,5.6,5.587871532,1,5.6,5.587871532
104,2.8354,6.5,5.57323333,1,6.5,5.57323333
105,2.8354,5.2,5.558735208,0,5.558735208,5.2
106,2.8354,5.4,5.544374511,0,5.544374511,5.4
107,2.8354,4,5.530148659,0,5.530148659,4
108,2.8354,4.8,5.516055141,0,5.516055141,4.8
111,3.1278,6.9,5.47454454,1,6.9,5.47454454
112,3.1278,4,5.460956627,0,5.460956627,4
113,3.1278,6.8,5.447489497,1,6.8,5.447489497
114,3.1278,8.1,5.434141021,1,8.1,5.434141021
115,3.1278,5.5,5.420909128,1,5.5,5.420909128
116,3.1278,5.1,5.407791798,0,5.407791798,5.1
117,3.1278,6.1,5.394787064,1,6.1,5.394787064
118,3.1278,4.8,5.38189301,0,5.38189301,4.8
121,3.4219,5.9,5.343856481,1,5.9,5.343856481
122,3.4219,6.5,5.331386928,1,6.5,5.331386928
123,3.4219,4.6,5.319019168,0,5.319019168,4.6
124,3.4219,4.5,5.306751553,0,5.306751553,4.5
125,3.4219,5.3,5.294582474,1,5.3,5.294582474
126,3.4219,5.6,5.282510361,1,5.6,5.282510361
127,3.4219,5.3,5.270533681,1,5.3,5.270533681
128,3.4219,6.3,5.258650936,1,6.3,5.258650936
131,3.7176,5.1,5.223551864,0,5.223551864,5.1
132,3.7176,6.5,5.212030576,1,6.5,5.212030576
133,3.7176,4.6,5.200596241,0,5.200596241,4.6
134,3.7176,5.4,5.189247557,1,5.4,5.189247557
135,3.7176,5.1,5.177983251,0,5.177983251,5.1
136,3.7176,5.1,5.166802078,0,5.166802078,5.1
137,3.7176,6.2,5.155702818,1,6.2,5.155702818
138,3.7176,5.3,5.144684281,1,5.3,5.144684281
141,4.015,6.1,5.112101473,1,6.1,5.112101473
142,4.015,5.7,5.101394417,1,5.7,5.101394417
143,4.015,5.3,5.090762498,1,5.3,5.090762498
144,4.015,6.2,5.08020467,1,6.2,5.08020467
145,4.015,5.4,5.069719908,1,5.4,5.069719908
146,4.015,5.5,5.059307206,1,5.5,5.059307206
147,4.015,4.5,5.048965581,0,5.048965581,4.5
148,4.015,4.9,5.038694069,0,5.038694069,4.9
151,4.3141,5.4,5.008290865,1,5.4,5.008290865
152,4.3141,6.9,4.99829055,1,6.9,4.99829055
153,4.3141,4.7,4.988355812,0,4.988355812,4.7
154,4.3141,5.3,4.978485795,1,5.3,4.978485795
155,4.3141,4.3,4.968679663,0,4.968679663,4.3
156,4.3141,4,4.958936593,0,4.958936593,4
157,4.3141,4.5,4.949255779,0,4.949255779,4.5
158,4.3141,5.5,4.939636432,1,5.5,4.939636432
191,5.5275,4.4,4.652265665,0,4.652265665,4.4
192,5.5275,6.4,4.6443542,1,6.4,4.6443542
193,5.5275,3.4,4.636483833,0,4.636483833,3.4
194,5.5275,4.1,4.62865414,0,4.62865414,4.1
195,5.5275,3.7,4.620864703,0,4.620864703,3.7
196,5.5275,4.2,4.61311511,0,4.61311511,4.2
197,5.5275,4.1,4.605404955,0,4.605404955,4.1
198,5.5275,3.3,4.597733839,0,4.597733839,3.3
201,5.8352,2.6,4.574950821,0,4.574950821,2.6
202,5.8352,4.8,4.567431986,1,4.8,4.567431986
203,5.8352,3.3,4.559950281,0,4.559950281,3.3
204,5.8352,2,4.552505341,0,4.552505341,2
205,5.8352,3.3,4.545096807,0,4.545096807,3.3
211,6.1446,7.2,4.501390637,1,7.2,4.501390637
212,6.1446,3.2,4.494227303,0,4.494227303,3.2
213,6.1446,4.2,4.48709768,0,4.48709768,4.2
214,6.1446,3.3,4.480001451,0,4.480001451,3.3
215,6.1446,5.4,4.472938304,1,5.4,4.472938304
221,6.4557,3,4.431237264,0,4.431237264,3
222,6.4557,3.5,4.424397332,0,4.424397332,3.5
223,6.4557,6.4,4.417588143,1,6.4,4.417588143
224,6.4557,3.6,4.410809419,0,4.410809419,3.6
225,6.4557,4.4,4.404060891,0,4.404060891,4.4
226,6.4557,4.5,4.397342289,1,4.5,4.397342289
227,6.4557,4.8,4.39065335,1,4.8,4.39065335
228,6.4557,4.8,4.383993814,1,4.8,4.383993814
231,6.7686,6,4.364189059,1,6,4.364189059
232,6.7686,5.4,4.35764459,1,5.4,4.35764459
233,6.7686,4.8,4.35112827,1,4.8,4.35112827
234,6.7686,6,4.344639856,1,6,4.344639856
235,6.7686,3.4,4.338179112,0,4.338179112,3.4
236,6.7686,3.8,4.331745803,0,4.331745803,3.8
237,6.7686,2.5,4.325339695,0,4.325339695,2.5
238,6.7686,2.7,4.318960561,0,4.318960561,2.7
311,9.3363,3.7,3.913653088,0,3.913653088,3.7
312,9.3363,4.1,3.908789385,1,4.1,3.908789385
313,9.3363,3.9,3.903941246,0,3.903941246,3.9
314,9.3363,2.8,3.899108572,0,3.899108572,2.8
315,9.3363,4,3.894291264,1,4,3.894291264
316,9.3363,2.1,3.889489224,0,3.889489224,2.1
317,9.3363,3.2,3.884702357,0,3.884702357,3.2
318,9.3363,4.4,3.879930567,1,4.4,3.879930567
319,9.3363,4.1,3.875173759,1,4.1,3.875173759
320,9.3363,4.1,3.870431839,1,4.1,3.870431839
