Sn,AirVoids
1,7.4
2,7
3,8.8
4,8.7
5,8.6
6,8.7
7,8.7
8,8.9
9,7
10,6.5
11,6.6
12,6.7
13,7.8
14,7.3
15,8.4
16,8.4
17,8.2
18,5.9
19,7.8
20,7.4
21,7.5
22,6.8
23,8.4
24,5.8
25,6.9
26,7.3
27,8.3
28,7.7
29,7.8
30,6.6
31,6.8
32,6.8
33,7.8
34,6.9
35,6.1
36,6.4
37,7.7
38,6.7
39,7.1
40,6.1
41,6.7
42,7.1
43,6.8
44,6.5
45,6.9
46,5.5
47,7.2
48,7.2
49,6.3
50,5.6
51,6.7
52,6.3
53,6.7
54,6.3
55,6.3
56,5.9
57,6.7
58,7.3
59,6.6
60,6.5
61,6.6624494
62,6.9039683
63,6.8117514
64,6.480959
65,5.968966
66,5.6614556
67,6.4582195
68,7.108213
69,6.372856
70,6.247492
71,6.756463
72,7.0440087
73,6.6745515
74,6.579224
75,5.890864
76,6.0306535
77,6.485404
78,6.632846
79,6.4510975
80,6.557709
81,6.6624494
82,6.9039683
83,6.8117514
84,6.480959
85,5.968966
86,5.6614556
87,6.4582195
88,7.108213
89,6.372856
90,6.247492
91,6.691264
92,7.0013766
93,6.7505803
94,6.674097
95,6.0700893
96,6.0475125
97,6.438604
98,6.9784636
99,5.977049
100,6.5748463
101,6.594924
102,6.7457933
103,6.5562267
104,6.5072093
105,6.369241
106,5.9271126
107,6.542658
108,6.71955
109,6.04819
110,6.5029445
111,6.8192477
112,7.047743
113,5.841275
114,6.316894
115,6.0861545
116,7.0904937
117,6.4754515
118,7.063254
119,6.3529043
120,6.9667435
121,6.2
122,6.7
123,5.5
124,7
125,4.9
126,7
127,6.1
128,6.4
129,5.9
130,6.5
131,6.7
132,7.1
133,5.9
134,6.5
135,5.2
136,6.1
137,6.4
138,5.3
139,6.3
140,6
141,6.4
142,6.2
143,6.8
144,7.1
145,5.9
146,5.6
147,5.8
148,6.1
149,5
150,5.5
151,7.5
152,7.6
153,6.1
154,7.9
155,5.1
156,4.5
157,5
158,5
159,6.2
160,5.3
161,4.6
162,6.5
163,6.3
164,5.9
165,5.2
166,6.1
167,5.9
168,6.3
169,6.4
170,5.8
171,5.5
172,5.9
173,4.9
174,6.1
175,7.1
176,7.2
177,5.8
178,5.9
179,5
180,5
181,5.8
182,7
183,6.5
184,6.8
185,5.6
186,4.8
187,5
188,6.1
189,4.8
190,5.6
191,5.799952
192,7.0026307
193,6.494772
194,6.794581
195,5.606276
196,4.798099
197,5.0050507
198,6.092588
199,4.807573
200,5.595076
201,5.867499
202,7.0349307
203,6.448204
204,6.7250757
205,5.6117992
206,4.8701596
207,5.0335083
208,5.9528923
209,5.076333
210,5.49319
211,5.844306
212,7.049987
213,6.4080186
214,6.723763
215,5.6078777
216,4.9125657
217,5.0479164
218,5.7612534
219,5.2107205
220,5.4839015
221,5.7
222,7.1
223,5.9
224,5.5
225,6.1
226,4.8
227,5
228,5.4
229,5.4
230,5.7
231,5.9
232,5.5
233,4.5
234,4.7
235,5.6
236,6.7
237,5.1
238,6.7
239,5.5
240,6.3
241,5.9
242,5.5
243,4.6
244,6.4
245,5.5
246,5.3
247,6.1
248,5.9
249,5.4
250,5.3
251,5.3
252,6.2
253,5.5
254,6
255,5.9
256,4.7
257,5.1
258,6.1
259,5.6
260,5.2
261,5.2
262,6.5
263,6
264,6.3
265,4.7
266,4.8
267,5.4
268,5.5
269,5.3
270,5
271,5.6388035
272,6.778926
273,6.023697
274,6.3425612
275,4.635123
276,4.6030293
277,5.2240715
278,5.102512
279,5.616483
280,4.984775
281,4.807062
282,6.067645
283,4.992653
284,6.57372
285,6.618449
286,5.342163
287,5.4907045
288,5.4896255
289,5.174426
290,5.1404295
291,4.892774
292,6.020903
293,4.665635
294,6.715438
295,6.9103966
296,5.6116743
297,5.6042557
298,5.490248
299,4.704114
300,4.924686
301,4.694786
302,6.1440687
303,4.9789376
304,6.693175
305,6.056871
306,4.76267
307,5.2718005
308,5.4684567
309,4.8269677
310,5.184721
311,4.694786
312,6.1440687
313,4.9789376
314,6.693175
315,6.056871
316,4.76267
317,5.2718005
318,5.4684567
319,4.8269677
320,5.184721
321,4.612626
322,6.544533
323,4.7678013
324,6.5419507
325,5.9914813
326,4.929989
327,5.200307
328,5.417175
329,5.0827093
330,5.3476276
331,3.7195292
332,6.5527077
333,4.762017
334,6.5380983
335,5.986649
336,4.858885
337,5.278181
338,5.418757
339,5.0835915
340,5.3432326
341,3.7
342,6.5
343,4.7
344,6.4
345,6.1
346,4.7
347,5.3
348,5.3
